city,propertyType,livingArea,lotSize,yearBuilt,Prezzo Reale,Prezzo Predetto
Anaheim,singleFamily,2142.0,12360.0,1963.0,1099500,901307
Baltimore,singleFamily,1230.0,11343.0,1966.0,365900,286860
Toledo,singleFamily,1192.0,3201.66,1902.0,78000,191606
Chandler,singleFamily,2111.0,9282.0,1994.0,650000,611165
Yonkers,condo,1200.0,1742.0,1970.0,499000,382233
Akron,singleFamily,2986.0,13198.68,1955.0,375000,368656
Austin,singleFamily,2160.0,10733.184,1977.0,289900,497612
Orlando,singleFamily,2643.0,11979.000000000002,2000.0,465000,592403
Atlanta,singleFamily,3340.0,13068.0,2016.0,969900,732154
Albuquerque,singleFamily,1583.0,4791.6,2023.0,352900,405510
Columbus,singleFamily,2350.0,19602.0,1959.0,350000,407230
Colorado Springs,singleFamily,2114.0,15651.108,1956.0,570000,463004
Los Angeles,singleFamily,1734.0,6534.0,1954.0,799999,847469
Lincoln,singleFamily,1944.0,9147.6,1966.0,310000,355824
Greensboro,singleFamily,4042.0,17424.0,2007.0,929900,626878
Milwaukee,singleFamily,1491.0,4791.6,1922.0,250000,303760
Orlando,singleFamily,2441.0,5284.0,2002.0,499999,565246
Akron,singleFamily,1770.0,33976.8,1953.0,249900,272016
Louisville/Jefferson County,singleFamily,4072.0,6969.6,2021.0,697000,647554
Philadelphia,townhome,1188.0,967.0,1920.0,159900,275248
Seattle,singleFamily,3820.0,8481.132,1940.0,2100000,1282035
Albuquerque,singleFamily,3494.0,11325.6,1946.0,875000,578523
Rochester,singleFamily,1776.0,4791.6,1920.0,200000,257585
Atlanta,singleFamily,4500.0,13068.0,2005.0,425000,959352
Moreno Valley,singleFamily,1635.0,7405.0,2002.0,499900,530640
Dallas,singleFamily,2267.0,12196.799999999996,1960.0,689900,503733
New Orleans,singleFamily,1142.0,2173.5281,1954.0,295000,353323
Laredo,singleFamily,1922.0,9646.0,2002.0,285000,333891
Corpus Christi,singleFamily,776.0,7000.0,1965.0,135000,239840
Lincoln,singleFamily,1974.0,6969.6,1989.0,265000,371289
Indianapolis,singleFamily,3466.0,8712.0,1987.0,1750000,451071
Las Vegas,singleFamily,2540.0,7840.8,1996.0,590000,547393
Arlington,singleFamily,1061.0,6708.24,1962.0,259000,282236
Columbus,singleFamily,979.0,5662.8,1953.0,239900,287422
Glendale,singleFamily,1360.0,4883.0,1985.0,310000,363782
Miami,singleFamily,3104.0,5278.0,2022.0,1850000,1117517
Spokane,singleFamily,2839.0,22651.2,2020.0,1335000,617355
Lincoln,singleFamily,6378.0,280526.4,1980.0,2100000,1088706
North Las Vegas,singleFamily,1188.0,6098.4,2000.0,380000,377478
Winston-Salem,singleFamily,1187.0,12196.800000000001,1972.0,139000,274503
Raleigh,singleFamily,2834.0,12632.4,1980.0,640000,577664
Boston,singleFamily,3485.0,7686.0,1926.0,2199000,1121496
Lubbock,singleFamily,2323.0,9583.2,1954.0,294000,302557
Irving,singleFamily,4263.0,11891.879999999996,1967.0,500000,711308
Indianapolis,singleFamily,2103.0,5662.8,1929.0,379000,294643
Boston,singleFamily,1451.0,7527.0,1900.0,799000,651558
San Diego,singleFamily,2539.0,4791.6,1985.0,2198300,980878
Los Angeles,condo,1747.0,73180.8,1970.0,699900,678776
Garland,condo,1019.0,202989.6,1984.0,197000,215356
Atlanta,singleFamily,5000.0,25787.52,2006.0,639000,1087355
Omaha,singleFamily,3003.0,13503.6,1985.0,415000,506506
Stockton,singleFamily,2697.0,9361.044,2000.0,650000,582777
Tacoma,singleFamily,2280.0,4917.924,1927.0,550000,546586
San Jose,singleFamily,1798.0,6900.0,1979.0,1649000,1152470
Columbus,singleFamily,888.0,8276.4,1957.0,184900,282743
Denver,singleFamily,1352.0,3049.2,1906.0,625000,539910
Albuquerque,singleFamily,997.0,1306.8,1950.0,93500,313772
Greensboro,singleFamily,3090.0,20908.8,1988.0,585000,481133
Winston-Salem,singleFamily,3789.0,22215.600000000002,1957.0,559000,510791
Fresno,singleFamily,1786.0,6507.864,1978.0,429900,413790
Fresno,singleFamily,2014.0,9361.044,1980.0,645000,439146
Denver,singleFamily,4396.0,6250.0,1906.0,2195000,1146759
San Antonio,singleFamily,2018.0,5749.92,2005.0,189900,334104
San Bernardino,singleFamily,1940.0,9078.0,1961.0,589999,508896
Albuquerque,singleFamily,2961.0,13503.6,1990.0,750000,542268
Yonkers,singleFamily,3095.0,5663.0,1963.0,880000,775741
Indianapolis,singleFamily,2060.0,34848.0,1987.0,350000,318508
Madison,multiFamily,3960.0,10454.4,1984.0,779000,597715
Columbus,singleFamily,1535.0,4791.6,1930.0,348900,318438
Boston,singleFamily,1588.0,6000.0,1950.0,999995,727503
Fayetteville,singleFamily,1771.0,15245.999999999998,1987.0,270000,286353
El Paso,singleFamily,1984.0,5662.8,2010.0,235000,330176
Anaheim,singleFamily,2753.0,7616.0,1965.0,1299999,1051644
